id;time;subscriber;aprefix;destination;invoice group;prefix;pbx;direction;volume/time(secs);price;free;forward;servingnetwork;reason;billed;zone
946614121;08-04-2019 09:45;4578772918;Danmark Fastnet;45913758XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
946614265;08-04-2019 09:45;46840308799;Sweden;467084186XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
946614553;08-04-2019 09:46;46840308799;Sweden;461045908XX;Udland;Sweden;firebrand-;ip-pstn;240;0,48;no;0;;0;yes;Norden
946615492;08-04-2019 09:49;46840836388;Sweden;46312257XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
946615599;08-04-2019 09:50;4578772918;Danmark Fastnet;45271521XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
946616492;08-04-2019 09:52;46840836382;Sweden;47481210XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;120;1,1;no;0;;0;yes;Norden Mobil
946617014;08-04-2019 09:54;46840836382;Sweden;468527210XX;Udland;Sweden;firebrand-;ip-pstn;120;0,34;no;0;;0;yes;Norden
946617083;08-04-2019 09:54;46840836389;Sweden;461057462XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
946617331;08-04-2019 09:55;46840836388;Sweden;3806350000XX;Udland Mobil;Ukraine-Mobile;firebrand-;ip-pstn;60;1,68;no;0;;0;yes;Europa 3 Mobil
946617449;08-04-2019 09:55;46840836388;Sweden;3806350000XX;Udland Mobil;Ukraine-Mobile;firebrand-;ip-pstn;60;1,68;no;0;;0;yes;Europa 3 Mobil
946617652;08-04-2019 09:56;46840836388;Sweden;461407700XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
946617792;08-04-2019 09:56;46840836382;Sweden;467333125XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
946617814;08-04-2019 09:56;46840836388;Sweden;467331111XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
946617873;08-04-2019 09:57;4578772918;Danmark Fastnet;45299909XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
946618032;08-04-2019 09:57;46840836389;Sweden;461017602XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
946618563;08-04-2019 09:59;4533456544;Danmark Fastnet;45204492XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;180;1,25;no;0;;0;yes;Norden Mobil (DK)
946618786;08-04-2019 10:00;46840836384;Sweden;467218624XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
946619407;08-04-2019 10:01;46840836382;Sweden;468527210XX;Udland;Sweden;firebrand-;ip-pstn;180;0,41;no;0;;0;yes;Norden
946619463;08-04-2019 10:02;46840836384;Sweden;468546831XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
946620084;08-04-2019 10:04;46840836382;Sweden;467287505XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
946620198;08-04-2019 10:04;46840836384;Sweden;47414713XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
946620599;08-04-2019 10:05;46840308799;Sweden;46870959XX;Udland;Sweden;firebrand-;ip-pstn;180;0,41;no;0;;0;yes;Norden
946620968;08-04-2019 10:06;46840836389;Sweden;468524865XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
946621733;08-04-2019 10:09;46840836388;Sweden;467627051XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
946621739;08-04-2019 10:09;4569804979;Danmark Fastnet;45268363XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;600;4,05;no;0;;0;yes;Norden Mobil (DK)
946622227;08-04-2019 10:10;4578772918;Danmark Fastnet;45409998XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
946622352;08-04-2019 10:11;46840308799;Sweden;47925535XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
946623029;08-04-2019 10:13;46840308799;Sweden;467685634XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
946623288;08-04-2019 10:14;46840836388;Sweden;3806350000XX;Udland Mobil;Ukraine-Mobile;firebrand-;ip-pstn;60;1,68;no;0;;0;yes;Europa 3 Mobil
946623401;08-04-2019 10:14;46840836382;Sweden;461044752XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
946623487;08-04-2019 10:14;46840836388;Sweden;467676204XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
946623612;08-04-2019 10:15;46840308799;Sweden;601638700XX;Udland Mobil;Malaysia-Mobile;firebrand-;ip-pstn;480;13,4;no;0;;0;yes;Asien Mobil
946623803;08-04-2019 10:15;4578772915;Danmark Fastnet;468502554XX;Udland;Sweden;firebrand-;ip-pstn;180;0,41;no;0;;0;yes;Norden
946624044;08-04-2019 10:16;46840836382;Sweden;467022924XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
946624160;08-04-2019 10:16;46840836382;Sweden;461044750XX;Udland;Sweden;firebrand-;ip-pstn;120;0,34;no;0;;0;yes;Norden
